-0.2295754974773542E-003, -0.1318199557611473E-003, 
-0.1162902057860987E-003, -0.2410029520571948E-003, 
 0.4053422042195063E-004, -0.2674218961259802E-003, 
 0.1864323224225652E-003, -0.1999492712228316E-003, 
 0.2696221244679439E-003, -0.6039674223158172E-004, 
 0.2593654198822353E-003,  0.1034833956565615E-003, 
 0.1572841122842915E-003,  0.2343179471821815E-003, 
-0.2520048957556077E-005,  0.2851836560684231E-003, 
-0.1648243783227231E-003,  0.2364130368629547E-003, 
-0.2723516187807450E-003,  0.1031238073995101E-003, 
-0.2859668005035476E-003, -0.6938708351258481E-004, 
-0.1988884559232050E-003, -0.2210133078216007E-003, 
-0.3976424593927505E-004, -0.2977664030018541E-003, 
 0.1367100103295933E-003, -0.2709794555464972E-003, 
 0.2685724383765890E-003, -0.1479631030664158E-003, 
 0.3083353978522377E-003,  0.2983069230845371E-004, 
 0.2400612824622878E-003,  0.2007472708515772E-003, 
 0.8564229932648805E-004,  0.3042940340688498E-003, 
-0.1021573597193775E-003,  0.3025335075326436E-003, 
-0.2577094085477214E-003,  0.1939449349215464E-003, 
-0.3254412736591729E-003,  0.1470212731444744E-004, 
-0.2796684840723670E-003, -0.1733398701603057E-003, 
-0.1342692107442116E-003, -0.3039734718908626E-003, 
 0.6142233666808899E-004, -0.3299341740109793E-003, 
 0.2393294998022754E-003, -0.2399716541991513E-003, 
 0.3363008371288155E-003, -0.6354042039187256E-004, 
 0.3165087025925934E-003,  0.1387938162565667E-003, 
 0.1846405646296335E-003,  0.2961261802296346E-003, 
-0.1495888086889292E-004,  0.3520458702993195E-003, 
-0.2131681547345124E-003,  0.2848381318579966E-003, 
-0.3400104081447778E-003,  0.1158281698393982E-003, 
-0.3493426428298682E-003, -0.9731157604268804E-004, 
-0.2356072804371628E-003, -0.2802189890984060E-003, 
-0.3657604126534724E-004, -0.3677725885133999E-003, 
 0.1791527419796811E-003, -0.3272574654456858E-003, 
 0.3357803286488146E-003, -0.1705325329403547E-003, 
 0.3769262233567959E-003,  0.4930775042144092E-004, 
 0.2858963214902778E-003,  0.2558931522859794E-003, 
